Title,AD Related,ALG Related,Other Topics,Remarks
Stochastic Optimization with Importance Sampling for Regularized Loss Minimization,  ,  ,  ,  
Approval Voting and Incentives in Crowdsourcing,  ,  ,  ,  
A low variance consistent test of relative dependency,  ,  ,  ,  
An Aligned Subtree Kernel for Weighted Graphs,  ,  ,  ,  
Spectral Clustering via the Power Method - Provably,  ,  ,  ,  
Information Geometry and Minimum Description Length Networks,  ,  ,  ,  
Efficient Training of LDA on a GPU by Mean-for-Mode Estimation,  ,  ,  ,  
Adaptive Stochastic Alternating Direction Method of Multipliers,  ,  ,  ,  
A Lower Bound for the Optimization of Finite Sums,  ,  ,  ,  
Learning Word Representations with Hierarchical Sparse Coding,  ,  ,  ,  
Learning Transferable Features with Deep Adaptation Networks,  ,  ,  ,  
Robust partially observable Markov decision process,  ,  ,  ,  
On the Relationship between Sum-Product Networks and Bayesian Networks,  ,  ,  ,  
Learning from Corrupted Binary Labels via Class-Probability Estimation,  ,  ,  ,  
An Explicit Sampling Dependent Spectral Error Bound for Column Subset Selection,  ,  ,  ,  
A Stochastic PCA and SVD Algorithm with an Exponential Convergence Rate,  ,  ,  ,  
Attribute Efficient Linear Regression with Distribution-Dependent Sampling,  ,  ,  ,  
Learning Local Invariant Mahalanobis Distances,  ,  ,  ,  
Finding Linear Structure in Large Datasets with Scalable Canonical Correlation Analysis,  ,  ,  ,  
Abstraction Selection in Model-based Reinforcement Learning,  ,  ,  ,  
Surrogate Functions for Maximizing Precision at the Top,  ,  ,  ,  
Optimizing Non-decomposable Performance Measures: A Tale of Two Classes,  ,  ,  ,  
Coresets for Nonparametric Estimation - the Case of DP-Means,  ,  ,  ,  
A Relative Exponential Weighing Algorithm for Adversarial Utility-based Dueling Bandits,  ,  ,  ,  
Functional Subspace Clustering with Application to Time Series,  ,  ,  ,  
Accelerated Online Low Rank Tensor Learning for Multivariate Spatiotemporal Streams,  ,  ,  ,  
Atomic Spatial Processes,  ,  ,  ,  
Classification with Low Rank and Missing Data,  ,  ,  ,  
Dynamic Sensing: Better Classification under Acquisition Constraints,  ,  ,  ,  
A Modified Orthant-Wise Limited Memory Quasi-Newton Method with Convergence Analysis,  ,  ,  ,  
Telling cause from effect in deterministic linear dynamical systems,  ,  ,  ,  
